control_id,domain,title,frameworks,status,risk,found_evidence,missing_evidence,recommendation
GOV-001,Governance,Security governance responsibilities are defined,NIST CSF 2.0; ISO 27001; SOC 2,Evidence Partial,Medium,security_owner_defined; security_policy_exists,risk_management_process_defined,Implement or document the following missing evidence: risk_management_process_defined.
IAM-001,Identity and Access Management,Access to systems is controlled using least privilege,NIST CSF 2.0; ISO 27001; SOC 2; GDPR,Evidence Gap,High,,mfa_enabled; rbac_defined; privileged_access_reviewed,"Implement or document the following missing evidence: mfa_enabled, rbac_defined, privileged_access_reviewed."
SDLC-001,Secure Software Development,Code changes are reviewed before being merged,NIST CSF 2.0; ISO 27001; SOC 2; OWASP,Evidence Partial,Medium,branch_protection_enabled; codeowners_configured,pull_request_reviews_required,Implement or document the following missing evidence: pull_request_reviews_required.
VULN-001,Vulnerability Management,Dependencies and code are scanned for vulnerabilities,NIST CSF 2.0; ISO 27001; SOC 2; OWASP,Evidence Sufficient,Low,dependabot_enabled; codeql_enabled; dependency_review_enabled,,Periodically refresh and revalidate the supporting repository evidence.
LOG-001,Logging and Monitoring,Security-relevant events are logged and monitored,NIST CSF 2.0; ISO 27001; SOC 2; GDPR,Evidence Gap,High,,application_logs_enabled; cloud_audit_logs_enabled; alerting_process_defined,"Implement or document the following missing evidence: application_logs_enabled, cloud_audit_logs_enabled, alerting_process_defined."
PRIV-001,Privacy and Data Protection,Personal data processing is documented and controlled,GDPR; ISO 27001; SOC 2,Evidence Gap,High,,data_inventory_exists; privacy_notice_exists; data_retention_defined,"Implement or document the following missing evidence: data_inventory_exists, privacy_notice_exists, data_retention_defined."
AI-001,AI Governance,"AI system purpose, data flow and risks are documented",EU AI Act; NIST CSF 2.0; OWASP LLM,Evidence Gap,High,,ai_system_description_exists; ai_data_flow_documented; human_oversight_defined; prompt_injection_risk_assessed,"Implement or document the following missing evidence: ai_system_description_exists, ai_data_flow_documented, human_oversight_defined, prompt_injection_risk_assessed."
APP-001,Application Security,Authentication and authorization are documented and reviewed,OWASP; NIST CSF 2.0; SOC 2; ISO 27001,Evidence Gap,Medium,,authentication_mechanism_documented; authorization_checks_documented,"Implement or document the following missing evidence: authentication_mechanism_documented, authorization_checks_documented."
APP-002,Application Security,Input validation and secure error handling are documented,OWASP; NIST CSF 2.0; SOC 2,Evidence Gap,Medium,,input_validation_documented; secure_error_handling_documented,"Implement or document the following missing evidence: input_validation_documented, secure_error_handling_documented."
APP-003,Application Security,Secrets management and abuse prevention are reviewed,OWASP; SOC 2; ISO 27001,Evidence Gap,Medium,,secrets_management_documented; rate_limiting_reviewed,"Implement or document the following missing evidence: secrets_management_documented, rate_limiting_reviewed."
CLOUD-001,Cloud Security,"Cloud provider, IAM and privileged access are reviewed",NIST CSF 2.0; ISO 27001; SOC 2,Evidence Gap,High,,cloud_provider_documented; cloud_iam_review_documented,"Implement or document the following missing evidence: cloud_provider_documented, cloud_iam_review_documented."
CLOUD-002,Cloud Security,Cloud encryption and backup controls are reviewed,NIST CSF 2.0; ISO 27001; SOC 2; GDPR,Evidence Gap,High,,encryption_at_rest_reviewed; encryption_in_transit_reviewed; backup_recovery_documented,"Implement or document the following missing evidence: encryption_at_rest_reviewed, encryption_in_transit_reviewed, backup_recovery_documented."
PRIV-002,Privacy and Data Protection,"GDPR roles, agreements and data subject processes are reviewed",GDPR; ISO 27001; SOC 2,Evidence Gap,High,,controller_processor_roles_reviewed; dpa_reviewed; data_subject_rights_process_documented,"Implement or document the following missing evidence: controller_processor_roles_reviewed, dpa_reviewed, data_subject_rights_process_documented."
AI-002,AI Governance,AI vendor and transparency obligations are reviewed,EU AI Act; GDPR; OWASP LLM,Evidence Gap,High,,ai_vendor_review_documented; ai_transparency_notice_reviewed,"Implement or document the following missing evidence: ai_vendor_review_documented, ai_transparency_notice_reviewed."
