priority,control_id,domain,title,status,risk,effort,remediation,missing_evidence
P1,LOG-001,Logging and Monitoring,Security-relevant events are logged and monitored,Evidence Gap,High,Medium,"Implement or document the following missing evidence: application_logs_enabled, cloud_audit_logs_enabled, alerting_process_defined.",application_logs_enabled; cloud_audit_logs_enabled; alerting_process_defined
P1,PRIV-001,Privacy and Data Protection,Personal data processing is documented and controlled,Evidence Gap,High,High,"Implement or document the following missing evidence: data_inventory_exists, privacy_notice_exists, data_retention_defined.",data_inventory_exists; privacy_notice_exists; data_retention_defined
P1,AI-001,AI Governance,"AI system purpose, data flow and risks are documented",Evidence Gap,High,High,"Implement or document the following missing evidence: ai_system_description_exists, ai_data_flow_documented, human_oversight_defined, prompt_injection_risk_assessed.",ai_system_description_exists; ai_data_flow_documented; human_oversight_defined; prompt_injection_risk_assessed
P1,CLOUD-001,Cloud Security,"Cloud provider, IAM and privileged access are reviewed",Evidence Gap,High,Medium,"Implement or document the following missing evidence: cloud_provider_documented, cloud_iam_review_documented.",cloud_provider_documented; cloud_iam_review_documented
P1,CLOUD-002,Cloud Security,Cloud encryption and backup controls are reviewed,Evidence Gap,High,High,"Implement or document the following missing evidence: encryption_at_rest_reviewed, encryption_in_transit_reviewed, backup_recovery_documented.",encryption_at_rest_reviewed; encryption_in_transit_reviewed; backup_recovery_documented
P1,PRIV-002,Privacy and Data Protection,"GDPR roles, agreements and data subject processes are reviewed",Evidence Gap,High,High,"Implement or document the following missing evidence: controller_processor_roles_reviewed, dpa_reviewed, data_subject_rights_process_documented.",controller_processor_roles_reviewed; dpa_reviewed; data_subject_rights_process_documented
P1,AI-002,AI Governance,AI vendor and transparency obligations are reviewed,Evidence Gap,High,Medium,"Implement or document the following missing evidence: ai_vendor_review_documented, ai_transparency_notice_reviewed.",ai_vendor_review_documented; ai_transparency_notice_reviewed
P2,GOV-001,Governance,Security governance responsibilities are defined,Evidence Partial,Medium,Low,Implement or document the following missing evidence: risk_management_process_defined.,risk_management_process_defined
P2,IAM-001,Identity and Access Management,Access to systems is controlled using least privilege,Evidence Partial,Medium,Medium,"Implement or document the following missing evidence: rbac_defined, privileged_access_reviewed.",rbac_defined; privileged_access_reviewed
P2,SDLC-001,Secure Software Development,Code changes are reviewed before being merged,Evidence Partial,Medium,Low,Implement or document the following missing evidence: pull_request_reviews_required.,pull_request_reviews_required
P2,APP-001,Application Security,Authentication and authorization are documented and reviewed,Evidence Gap,Medium,Medium,"Implement or document the following missing evidence: authentication_mechanism_documented, authorization_checks_documented.",authentication_mechanism_documented; authorization_checks_documented
P2,APP-002,Application Security,Input validation and secure error handling are documented,Evidence Gap,Medium,Medium,"Implement or document the following missing evidence: input_validation_documented, secure_error_handling_documented.",input_validation_documented; secure_error_handling_documented
P2,APP-003,Application Security,Secrets management and abuse prevention are reviewed,Evidence Gap,Medium,Medium,"Implement or document the following missing evidence: secrets_management_documented, rate_limiting_reviewed.",secrets_management_documented; rate_limiting_reviewed
