control_id,domain,framework,requirement_summary,expected_evidence
GOV-001,Governance,NIST CSF 2.0,Security governance responsibilities should be defined,"security_owner_defined;security_policy_exists;risk_management_process_defined"
GOV-001,Governance,ISO 27001,Information security roles and responsibilities should be established,"security_owner_defined;security_policy_exists;risk_management_process_defined"
IAM-001,Identity and Access Management,NIST CSF 2.0,Access should be managed according to risk and least privilege,"mfa_enabled;rbac_defined;privileged_access_reviewed"
IAM-001,Identity and Access Management,SOC 2,Logical access should be restricted and monitored,"mfa_enabled;rbac_defined;privileged_access_reviewed"
SDLC-001,Secure Software Development,OWASP,Code changes should be reviewed before merge,"branch_protection_enabled;pull_request_reviews_required;codeowners_configured"
VULN-001,Vulnerability Management,OWASP,Dependencies and code should be scanned for vulnerabilities,"dependabot_enabled;codeql_enabled;dependency_review_enabled"
LOG-001,Logging and Monitoring,NIST CSF 2.0,Security events should be logged and monitored,"application_logs_enabled;cloud_audit_logs_enabled;alerting_process_defined"
PRIV-001,Privacy and Data Protection,GDPR,Personal data processing should be documented and controlled,"data_inventory_exists;privacy_notice_exists;data_retention_defined"
AI-001,AI Governance,EU AI Act,AI systems should be documented and risk assessed,"ai_system_description_exists;ai_data_flow_documented;human_oversight_defined;prompt_injection_risk_assessed"
APP-001,Application Security,OWASP,Authentication and authorization should be documented and reviewed,"authentication_mechanism_documented;authorization_checks_documented"
APP-002,Application Security,OWASP,Input validation and secure error handling should be documented,"input_validation_documented;secure_error_handling_documented"
APP-003,Application Security,OWASP,Secrets management and abuse prevention should be reviewed,"secrets_management_documented;rate_limiting_reviewed"
CLOUD-001,Cloud Security,NIST CSF 2.0,Cloud provider IAM and privileged access should be reviewed,"cloud_provider_documented;cloud_iam_review_documented"
CLOUD-002,Cloud Security,ISO 27001,Cloud encryption and backup controls should be reviewed,"encryption_at_rest_reviewed;encryption_in_transit_reviewed;backup_recovery_documented"
PRIV-002,Privacy and Data Protection,GDPR,Roles agreements and data subject processes should be reviewed,"controller_processor_roles_reviewed;dpa_reviewed;data_subject_rights_process_documented"
AI-002,AI Governance,EU AI Act,AI vendor and transparency obligations should be reviewed,"ai_vendor_review_documented;ai_transparency_notice_reviewed"
